Filename,Extracted Values
X8XZIG2X,"{""Called up share capital not paid"": ""200"", ""Net assets"": ""200"", ""Tssued share capital"": ""nan"", ""Ordinary Shares 1 of &#194;&#163; each"": ""200"", ""Total Shareholder funds"": ""200""}"
X8XZIGW8,{}
X8XZIIRN,"{""Called up share capital not paid"": ""1"", ""Net assets"": ""1"", ""Tssued share capital"": ""nan"", ""Ordinary Share 1 of &#194;&#163; each"": ""1"", ""Total Shareholder funds"": ""1""}"
X8XZIIW2,"{""Current assets"": ""nan"", ""Cash at bank and in hand"": ""1"", ""Net assets"": ""1"", ""Issued share capital"": ""nan"", ""Ordinary Share 1 of &#194;&#163; each"": ""1"", ""Total Shareholder funds"": ""1""}"
X8XZIIYQ,"{""Net assets"": ""0"", ""Reserves"": ""0""}"
X8XZIJC8,"{""Called up share capital not paid"": ""100"", ""Net assets"": ""100"", ""Tssued share capital"": ""nan"", ""Ordinary Shares of &#194;&#163;  each"": ""100"", ""Total Shareholder funds"": ""100""}"
X8XZIKDF,"{""Called up share capital not paid"": ""4"", ""Current Assets"": ""7078"", ""Creditors: amounts falling due within one year"": ""-7047"", ""Net current assets (liabilities)"": ""31"", ""Total assets less current liabilities"": ""35"", ""Total net assets (liabilities)"": ""35"", ""Capital and reserves"": ""35""}"
X8XZIKJ6,"{""Current assets"": ""nan"", ""Cash at bank and in hand"": ""100"", ""Net assets"": ""100"", ""Issued share capital"": ""nan"", ""Ordinary Shares 1 of &#194;&#163; each"": ""100"", ""Total Shareholder funds"": ""100""}"
X8XZIKOX,"{""Fixed Assets"": ""13082"", ""Current Assets"": ""13133"", ""Creditors: amounts falling due within one year"": ""-25263"", ""Net current assets (liabilities)"": ""-12130"", ""Total assets less current liabilities"": ""952"", ""Total net assets (liabilities)"": ""952"", ""Capital and reserves"": ""952""}"
X8XZIMDT,"{""Called up share capital not paid"": ""nan"", ""Fixed Assets"": ""nan"", ""Current Assets"": ""nan"", ""Net current assets (liabilities)"": ""nan"", ""Total assets less current liabilities"": ""nan"", ""Creditors: amounts falling due after more than one year"": ""nan"", ""Total net assets (liabilities)"": ""nan"", ""Capital and reserves"": ""nan""}"
X8XZIMKG,"{""Current Assets"": ""196"", ""Creditors: amounts falling due within one year"": ""-18"", ""Net current assets (liabilities)"": ""178"", ""Total assets less current liabilities"": ""178"", ""Total net assets (liabilities)"": ""178"", ""Capital and reserves"": ""178""}"
X8XZIML4,"{""Current assets"": ""nan"", ""Cash at bank and in hand"": ""50"", ""Net assets"": ""50"", ""Issued share capital"": ""nan"", ""Preference Shares 1 of &#194;&#163; each"": ""50"", ""Total Shareholder funds"": ""50""}"
X8XZIMQ3,"{""Called up share capital not paid "": ""1"", ""Net assets "": ""1"", ""Tssued share capital "": ""1"", ""Ordinary Share 1 of &#194;&#163; each "": ""1"", ""Total Shareholder funds "": ""1""}"
X8XZIN35,"{""Called up share capital not paid"": ""2"", ""Net assets"": ""2"", ""Tssued share capital"": ""nan"", ""Ordinary Shares 1 of &#194;&#163; each"": ""2"", ""Total Shareholder funds"": ""2""}"
X8XZINN6,"{""Called up share capital not paid"": ""1"", ""Net assets"": ""1"", ""Tssued share capital"": ""nan"", ""Ordinary Share 1 of &#194;&#163; each"": ""1"", ""Total Shareholder funds"": ""1""}"
X8XZIO5G,"{""Fixed assets 576 720 "": ""nan"", ""Current assets 2020 2288 "": ""nan"", ""Creditors: Amounts falling due within one year (8895) (7592) "": ""nan"", ""Net current liabilities (6875) (5304) "": ""nan"", ""Total assets less current liabilities (6299) (4584) "": ""nan"", ""Accruals and deferred income (312) (420)  (6611)"": ""nan"", ""(5004) "": ""nan"", ""Capital and reserves (6611) (5004) 1 "": ""nan"", ""General information "": ""nan""}"
X8XZIOFU,"{""Fixed Assets"": ""7809"", ""Current Assets"": ""30481"", ""Creditors: amounts falling due within one year"": ""-3864"", ""Net current assets (liabilities)"": ""26617"", ""Total assets less current liabilities"": ""34426"", ""Total net assets (liabilities)"": ""34426"", ""Capital and reserves"": ""34426""}"
X8XZIOKY,"{""Current Assets"": ""10000"", ""Net current assets (liabilities)"": ""10000"", ""Total assets less current liabilities"": ""10000"", ""Total net assets (liabilities)"": ""10000"", ""Capital and reserves"": ""10000""}"
X8XZIOV4,"{""Called up share capital not paid"": ""100"", ""Net assets"": ""100"", ""Tssued share capital"": ""nan"", ""A Shares 1 of &#194;&#163; each"": ""100"", ""Total Shareholder funds"": ""100""}"
X8XZIOXK,"{""Called up share capital not paid"": ""1"", ""Net assets"": ""1"", ""Tssued share capital"": ""1"", ""Ordinary Share 1 of &#194;&#163; each"": ""1"", ""Total Shareholder funds"": ""1""}"
X8XZIP1V,{}
X8XZIPBM,"{""Fixed Assets"": ""88750"", ""Current Assets"": ""110263"", ""Creditors: amounts falling due within one year"": ""-32441"", ""Net current assets (liabilities)"": ""77822"", ""Total assets less current liabilities"": ""166572"", ""Creditors: amounts falling due after more than one "": ""nan"", ""year"": ""-42811"", ""Total net assets (liabilities)"": ""123761"", ""Capital and reserves"": ""123761""}"
X8XZIPGP,"{""Called up share capital not paid"": ""100"", ""Net assets"": ""100"", ""Tssued share capital"": ""100"", ""Shares 1 of &#194;&#163; each"": ""100"", ""Total Shareholder funds"": ""100""}"
X8XZIPWZ,"{""Called up share capital not paid"": ""nan"", ""Fixed Assets"": ""nan"", ""Current Assets"": ""nan"", ""Prepayments and accrued income"": ""nan"", ""Creditors: amounts falling due within one year"": ""0"", ""Net current assets (liabilities)"": ""0"", ""Total assets less current liabilities"": ""0"", ""Creditors: amounts falling due after more than one year"": ""0"", ""Provisions for liabilities  0"": ""nan"", ""Accruals and deferred income"": ""0"", ""Total net assets (liabilities)"": ""0"", ""Capital and reserves"": ""0""}"
X8XZIQ16,"{""Current Assets"": ""22560"", ""Creditors: amounts falling due within one year"": ""-2038"", ""Net current assets (liabilities)"": ""20522"", ""Total assets less current liabilities"": ""20522"", ""Total net assets (liabilities)"": ""20522"", ""Capital and reserves"": ""20522""}"
X8XZIQEG,"{""Current assets"": ""nan"", ""Cash at bank and in hand"": ""1"", ""Net assets"": ""1"", ""Issued share capital"": ""nan"", ""Ordinary Share 1 of &#194;&#163; each"": ""1"", ""Total Shareholder funds"": ""1""}"
X8XZIR1E,"{""Fixed Assets"": ""46754"", ""Current Assets"": ""8268"", ""Creditors: amounts falling due within one year"": ""-64798"", ""Net current assets (liabilities)"": ""-56530"", ""Total assets less current liabilities"": ""-9776"", ""Provisions for liabilities"": ""-7458"", ""Accruals and deferred income"": ""-1200"", ""Total net assets (liabilities)"": ""-18434"", ""Capital and reserves"": ""-18434""}"
X8XZIR3U,"{""Fixed Assets"": ""8326"", ""Current Assets"": ""17380"", ""Creditors: amounts falling due within one year"": ""-23723"", ""Net current assets (liabilities)"": ""-6343"", ""Total assets less current liabilities"": ""1983"", ""Total net assets (liabilities)"": ""1983"", ""Capital and reserves"": ""1983""}"
X8XZIR7V,"{""Fixed Assets"": ""25000"", ""Current Assets"": ""nan"", ""Net current assets (liabilities)"": ""0"", ""Total assets less current liabilities"": ""25000"", ""Creditors: amounts falling due after more than one "": ""nan"", ""year"": ""-24998"", ""Total net assets (liabilities)"": ""2"", ""Capital and reserves"": ""2""}"
X8XZIRI8,"{""Called up share capital not paid"": ""nan"", ""Fixed Assets"": ""nan"", ""Current Assets"": ""24404"", ""Creditors: amounts falling due within one year"": ""-26602"", ""Net current assets (liabilities)"": ""-2198"", ""Total assets less current liabilities"": ""-2198"", ""Creditors: amounts falling due after more than one year"": ""0"", ""Provisions for liabilities"": ""0"", ""Accruals and deferred income"": ""0"", ""Total net assets (liabilities)"": ""-2198"", ""Capital and reserves"": ""-2198""}"
X8XZIS4B,"{""Fixed Assets"": ""960"", ""Current Assets"": ""1541"", ""Creditors: amounts falling due within one year"": ""-1209"", ""Net current assets (liabilities)"": ""332"", ""Total assets less current liabilities"": ""1292"", ""Total net assets (liabilities)"": ""1292"", ""Capital and reserves"": ""1292""}"
X8XZIS7K,{}
X8XZIS17,"{""Called up share capital not paid"": ""2"", ""Net assets"": ""2"", ""Tssued share capital"": ""nan"", ""Ordinary Shares 1 of &#194;&#163; each"": ""2"", ""Total Shareholder funds"": ""2""}"
X8XZISVF,"{""Current assets"": ""nan"", ""Cash at bank and in hand"": ""20"", ""Net assets"": ""20"", ""Issued share capital"": ""nan"", ""Ordinary Shares 1 of &#194;&#163; each"": ""20"", ""Total Shareholder funds"": ""20""}"
X8XZIT2O,"{""Cash at bank and in hand"": ""12"", ""Net assets"": ""12"", ""Issued share capital"": ""12"", ""Ordinary Shares 1 of &#194;&#163; each"": ""12"", ""Total Shareholder funds"": ""12""}"
X8XZITQ8,"{""Called up share capital not paid"": ""1"", ""Net assets"": ""1"", ""Tssued share capital"": ""nan"", ""Ordinary Share 1 of &#194;&#163; each"": ""1"", ""Total Shareholder funds"": ""1""}"
X8XZIUTL,"{""Called up share capital not paid"": ""2"", ""Net assets"": ""2"", ""Tssued share capital"": ""nan"", ""Ordinary Shares 1 of &#194;&#163; each"": ""2"", ""Total Shareholder funds"": ""2""}"
X8XZIV4B,"{""Current assets"": ""nan"", ""Cash at bank and in hand"": ""3"", ""Net assets"": ""3"", ""Issued share capital"": ""nan"", ""Ordinary Shares 1 of &#194;&#163; each"": ""3"", ""Total Shareholder funds"": ""3""}"
X8XZIVMX,"{""Called up share capital not paid"": ""100"", ""Net assets"": ""100"", ""Tssued share capital"": ""nan"", ""Ordinary Shares 1 of &#194;&#163; each"": ""100"", ""Total Shareholder funds"": ""100""}"
X8XZIW68,"{""Called up share capital not paid"": ""100"", ""Net assets"": ""100"", ""Tssued share capital"": ""nan"", ""Ordinary Shares 1 of &#194;&#163; each"": ""100"", ""Total Shareholder funds"": ""100""}"
X8XZIWEH,"{""Called up share capital not paid"": ""6"", ""Net assets"": ""6"", ""Tssued share capital"": ""nan"", ""Ordinary Shares 1 of &#194;&#163; each"": ""6"", ""Total Shareholder funds"": ""6""}"
X8XZIWI2,"{""Current Assets"": ""50960"", ""Creditors: amounts falling due within one year"": ""-17778"", ""Net current assets (liabilities)"": ""33182"", ""Total assets less current liabilities"": ""33182"", ""Total net assets (liabilities)"": ""33182"", ""Capital and reserves"": ""33182""}"
X8Y2EPBT,"{""Fixed Assets"": ""1369"", ""Current Assets"": ""24799"", ""Creditors: amounts falling due within one year"": ""-6106"", ""Net current assets (liabilities)"": ""18693"", ""Total assets less current liabilities"": ""20062"", ""Total net assets (liabilities)"": ""20062"", ""Capital and reserves"": ""20062""}"
X8Y2EPNN,"{""Fixed Assets"": ""14800"", ""Current Assets"": ""570"", ""Net current assets (liabilities)"": ""570"", ""Total assets less current liabilities"": ""15370"", ""Creditors: amounts falling due after more than one year"": ""-18659"", ""Total net assets (liabilities)"": ""-3289"", ""Capital and reserves"": ""-3289""}"
X8Y2EPVK,"{""Fixed Assets"": ""3650"", ""Current Assets"": ""7721"", ""Creditors: amounts falling due within one year"": ""-8776"", ""Net current assets (liabilities)"": ""-1055"", ""Total assets less current liabilities"": ""2595"", ""Total net assets (liabilities)"": ""2595"", ""Capital and reserves"": ""2595""}"
X8Y2ER1U,"{""Called up share capital not paid"": ""100"", ""Net assets"": ""100"", ""Tssued share capital"": ""nan"", ""Ordinary Shares 1 of &#194;&#163; each"": ""100"", ""Total Shareholder funds"": ""100""}"
X8Y2ESHT,"{""Current Assets"": ""595"", ""Creditors: amounts falling due within one year"": ""-8297"", ""Net current assets (liabilities)"": ""-7702"", ""Total assets less current liabilities"": ""-7702"", ""Total net assets (liabilities)"": ""-7702"", ""Capital and reserves"": ""-7702""}"
X8Y2ESJM,"{""Current assets"": ""nan"", ""Cash at bank and in hand"": ""10"", ""Net assets"": ""10"", ""Issued share capital"": ""nan"", ""Ordinary Shares of &#194;&#163; 001 each"": ""10"", ""Total Shareholder funds"": ""10""}"
X8Y2ESK2,"{""Called up share capital not paid"": ""nan"", ""Fixed Assets"": ""52260"", ""Current Assets"": ""44130"", ""Prepayments and accrued income"": ""nan"", ""Creditors: amounts falling due within one year"": ""-121079"", ""Net current assets (liabilities)"": ""-76949"", ""Total assets less current liabilities"": ""-24689"", ""Creditors: amounts falling due after more than one year"": ""0"", ""Provisions for liabilities"": ""0"", ""Accruals and deferred income"": ""-19420"", ""Total net assets (liabilities)"": ""-44109"", ""Capital and reserves"": ""-44109""}"
X8Y2ETEY,"{""Called up share capital not paid"": ""1"", ""Net assets"": ""1"", ""Tssued share capital"": ""1"", ""Ordinary Share 1 of &#194;&#163; each"": ""1"", ""Total Shareholder funds"": ""1""}"
X8Y2ETP7,"{""Called up share capital not paid"": ""100"", ""Net assets"": ""100"", ""Tssued share capital"": ""100"", ""Ordinary Shares of &#194;&#163;  each"": ""100"", ""Total Shareholder funds"": ""100""}"
X8Y2EUWP,"{""Fixed Assets"": ""1164"", ""Current Assets"": ""321"", ""Creditors: amounts falling due within one year"": ""-2719"", ""Net current assets (liabilities)"": ""-2398"", ""Total assets less current liabilities"": ""-1234"", ""Total net assets (liabilities)"": ""-1234"", ""Capital and reserves"": ""-1234""}"
X8Y2EY7M,"{""Called up share capital not paid"": ""0"", ""Cash at bank and in hand"": ""100"", ""Net assets"": ""100"", ""Authorised share capital"": ""100"", ""Issued share capital"": ""100"", ""ORDINARY SHARES of &#194;&#163;1 each"": ""100"", ""Total shareholder funds"": ""100"", ""NOTES consideration"": ""1"", ""received by the company 0 was"": ""&#194;&#163;""}"
X8Y2EYGW,"{""Current Assets"": ""2"", ""Creditors: amounts falling due within one year"": ""-28420"", ""Net current assets (liabilities)"": ""2"", ""Total assets less current liabilities"": ""2"", ""Total net assets (liabilities)"": ""2"", ""Capital and reserves"": ""2""}"
X8Y2EYNK,"{""Called up share capital not paid"": ""0"", ""Cash at bank and in hand"": ""100"", ""Net assets"": ""100"", ""Authorised share capital"": ""100"", ""Issued share capital"": ""100"", ""ORDINARY SHARES of &#194;&#163;1 each"": ""100"", ""Total shareholder funds"": ""100"", ""NOTES consideration"": ""1"", ""received by the company 0 was"": ""&#194;&#163;""}"
X8Y2EZ9S,"{""Called up share capital not paid"": ""1"", ""Net assets"": ""1"", ""Tssued share capital"": ""nan"", ""Ordinary Share 1 of &#194;&#163; each"": ""1"", ""Total Shareholder funds"": ""1""}"
X8Y2EZF0,"{""Creditors: amounts falling due within one year"": ""-16666"", ""Net current assets (liabilities)"": ""-16666"", ""Total assets less current liabilities"": ""-16666"", ""Total net assets (liabilities)"": ""-16666"", ""Capital and reserves"": ""-16666""}"
X8Y2EZHT,{}
X8Y2F0HE,{}
X8Y2F0L6,"{""Called up share capital not paid"": ""0"", ""Cash at bank and in hand"": ""100"", ""Net assets"": ""100"", ""Authorised share capital"": ""100"", ""Issued share capital"": ""100"", ""ORDINARY SHARES of &#194;&#163;1 each"": ""100"", ""Total shareholder funds"": ""100"", ""NOTES consideration"": ""1"", ""received by the company 0 was"": ""&#194;&#163;""}"
X8Y2F3JL,"{""Cash at bank and in hand"": ""1"", ""Net assets"": ""1"", ""Issued share capital"": ""1"", ""Ordinary Share 1 of &#194;&#163; each"": ""1"", ""Total Shareholder funds"": ""1""}"
X8Y2F3V7,"{""Called up share capital not paid"": ""100"", ""Net assets"": ""100"", ""Tssued share capital"": ""100"", ""Ordinary Shares of &#194;&#163;  each"": ""100"", ""Total Shareholder funds"": ""100""}"
X8Y2F4BD,"{""Current Assets"": ""199"", ""Creditors: amounts falling due within one year"": ""-198"", ""Net current assets (liabilities)"": ""1"", ""Total assets less current liabilities"": ""1"", ""Total net assets (liabilities)"": ""1"", ""Capital and reserves"": ""1""}"
X8Y2F4HM,"{""Fixed Assets"": ""17827"", ""Current Assets"": ""21721"", ""Creditors: amounts falling due within one year"": ""-2700"", ""Net current assets (liabilities)"": ""19021"", ""Total assets less current liabilities"": ""36848"", ""Total net assets (liabilities)"": ""36848"", ""Reserves"": ""36848""}"
X8Y2F4YW,"{""Fixed Assets"": ""1078"", ""Total assets less current liabilities"": ""1078"", ""Total net assets (liabilities)"": ""1078"", ""Capital and reserves"": ""1078""}"
X8Y2F14H,"{""Current Assets"": ""10"", ""Net current assets (liabilities)"": ""10"", ""Total assets less current liabilities"": ""10"", ""Creditors: amounts falling due after more than one "": ""nan"", ""year"": ""-5786"", ""Total net assets (liabilities)"": ""-5776"", ""Capital and reserves"": ""-5776""}"
X8Y2F34B,"{""Called up share capital not paid"": ""nan"", ""Fixed Assets"": ""470"", ""Current Assets"": ""2000"", ""Prepayments and accrued income"": ""nan"", ""Creditors: amounts falling due within one year"": ""0"", ""Net current assets (liabilities)"": ""2000"", ""Total assets less current liabilities"": ""2470"", ""Creditors: amounts falling due after more than one year"": ""0"", ""Provisions for liabilities"": ""0"", ""Accruals and deferred income"": ""0"", ""Total net assets (liabilities)"": ""2470"", ""Capital and reserves"": ""2470""}"
X8Y2F337,"{""Current assets"": ""nan"", ""Cash at bank and in hand"": ""100"", ""Net assets"": ""100"", ""Issued share capital"": ""nan"", ""Ordinary Shares 1 of &#194;&#163; each"": ""100"", ""Total Shareholder funds"": ""100""}"
